"date","fisYr","ticker","compName","totalRev","country","cmnShrTraded","totalMktVal","industry","bidLow","askHigh","holdingPeriodReturn","avgPrc","avgShOut","avgShVol","ceoName","ceoStart","ceoEnd","ceoComp1","ceoComp2","ceoSalPctChg","ceoShares","ceoGender","ceoChg"
2015-12-31,2016,"AAPL","APPLE INC",75324,"USA",2778063480,583612.7016,"3663",105.26,119.03,"-0.110228",114.353333333333,5565049.66666667,9300901.66666667,"Timothy D. Cook","08/24/2011",NA,8747.719,8747.719,50,1039.809,"MALE",NA
2016-03-31,2016,"AAPL","APPLE INC",125881,"USA",2818123080,597095.8295,"3663",100.53,109.56,"0.127211",101.006666666667,5522537.33333333,9428202.66666667,"Timothy D. Cook","08/24/2011",NA,8747.719,8747.719,50,1039.809,"MALE",NA
2016-06-30,2016,"AAPL","APPLE INC",168239,"USA",2544537520,515586.574,"3663",92.04,99.65,"-0.042660",96.4,5449338.33333333,8520063.66666667,"Timothy D. Cook","08/24/2011",NA,8747.719,8747.719,50,1039.809,"MALE",NA
2016-09-30,2016,"AAPL","APPLE INC",215091,"USA",2275734810,603253.5663,"3663",103.13,115.57,"0.065504",107.786666666667,5388443,7628035,"Timothy D. Cook","08/24/2011",NA,8747.719,8747.719,50,1039.809,"MALE",NA
2017-03-31,2017,"AAPL","APPLE INC",131247,"USA",1692223880,747867.3829,"3663",138.67999,144.12,"0.048690",134.000003333333,5232965,5674570.66666667,"Timothy D. Cook","08/24/2011",NA,12825.066,12825.066,1.923,901.474,"MALE",NA
2017-06-30,2017,"AAPL","APPLE INC",176655,"USA",1706073310,744552.0036,"3663",142.27,155.45,"-0.057214",146.809993333333,5199154,5715767,"Timothy D. Cook","08/24/2011",NA,12825.066,12825.066,1.923,901.474,"MALE",NA
2018-12-31,2019,"AAPL","APPLE INC",84310,"USA",2622935020,746079.1252,"3663",146.83,184.82001,"-0.116698",185.060003333333,4740199.66666667,8835075,"Timothy D. Cook","08/24/2011",NA,11555.466,11555.466,0,847.969,"MALE",NA
2019-09-30,2019,"AAPL","APPLE INC",260174,"USA",1696477470,995151.5669,"3663",205.7,223.97,"0.072962",215.25,4493865.33333333,5682009.66666667,"Timothy D. Cook","08/24/2011",NA,11555.466,11555.466,0,847.969,"MALE",NA
2019-12-31,2020,"AAPL","APPLE INC",91819,"USA",1658224920,1287643.2104,"3663",259.45001,293.64999,"0.098784",269.88666,4423829.66666667,5569456.33333333,"Timothy D. Cook","08/24/2011",NA,14769.259,14769.259,0,3349.496,"MALE",NA
2020-03-31,2020,"AAPL","APPLE INC",150132,"USA",3045670300,1099546.6542,"3663",224.37,302.73999,"-0.069761",279.05333,4358315.66666667,10187792.6666667,"Timothy D. Cook","08/24/2011",NA,14769.259,14769.259,0,3349.496,"MALE",NA
2020-06-30,2020,"AAPL","APPLE INC",209817,"USA",2319542170,1562780.9472,"3663",321.85001,366.53,"0.147386",325.513326666667,4317536.33333333,7752725,"Timothy D. Cook","08/24/2011",NA,14769.259,14769.259,0,3349.496,"MALE",NA
2020-09-30,2020,"AAPL","APPLE INC",274515,"USA",10919191290,1966078.923,"3663",106.84,134.17999,"-0.102526",223.296666666667,12784977.6666667,19401176.3333333,"Timothy D. Cook","08/24/2011",NA,14769.259,14769.259,0,3349.496,"MALE",NA
